model_key,language,language_name,prompt_id,seed,generated_success,image_path,runtime_seconds,observation,image_exists,success_and_file,status
dreamshaper8,en,English,S01_base,2026051801,True,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/en/S01_base_seed2026051801_00001_.png,88.803,generated|resume_reused_existing,True,True,SUCCESS
dreamshaper8,en,English,S01_base,2026051802,True,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/en/S01_base_seed2026051802_00001_.png,4.028,generated|resume_reused_existing,True,True,SUCCESS
dreamshaper8,en,English,S01_attribute_swap,2026051801,True,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/en/S01_attribute_swap_seed2026051801_00001_.png,4.031,generated|resume_reused_existing,True,True,SUCCESS
dreamshaper8,en,English,S01_attribute_swap,2026051802,True,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/en/S01_attribute_swap_seed2026051802_00001_.png,4.021,generated|resume_reused_existing,True,True,SUCCESS
dreamshaper8,en,English,S02_word_order,2026051801,True,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/en/S02_word_order_seed2026051801_00001_.png,4.024,generated|resume_reused_existing,True,True,SUCCESS
dreamshaper8,en,English,S02_word_order,2026051802,True,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/en/S02_word_order_seed2026051802_00001_.png,4.027,generated|resume_reused_existing,True,True,SUCCESS
dreamshaper8,en,English,S03_base,2026051801,True,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/en/S03_base_seed2026051801_00001_.png,89.101,generated,True,True,SUCCESS
dreamshaper8,en,English,S03_base,2026051802,True,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/en/S03_base_seed2026051802_00001_.png,4.027,generated,True,True,SUCCESS
dreamshaper8,en,English,S04_word_order,2026051801,True,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/en/S04_word_order_seed2026051801_00001_.png,4.028,generated,True,True,SUCCESS
dreamshaper8,en,English,S04_word_order,2026051802,True,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/en/S04_word_order_seed2026051802_00001_.png,4.027,generated,True,True,SUCCESS
dreamshaper8,en,English,S05_base,2026051801,True,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/en/S05_base_seed2026051801_00001_.png,4.03,generated,True,True,SUCCESS
dreamshaper8,en,English,S05_base,2026051802,True,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/en/S05_base_seed2026051802_00001_.png,4.02,generated,True,True,SUCCESS
dreamshaper8,en,English,S05_quantity_shift,2026051801,True,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/en/S05_quantity_shift_seed2026051801_00001_.png,4.025,generated,True,True,SUCCESS
dreamshaper8,en,English,S05_quantity_shift,2026051802,True,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/en/S05_quantity_shift_seed2026051802_00001_.png,4.023,generated,True,True,SUCCESS
dreamshaper8,en,English,S06_quantity_shift,2026051801,True,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/en/S06_quantity_shift_seed2026051801_00001_.png,4.028,generated,True,True,SUCCESS
dreamshaper8,en,English,S06_quantity_shift,2026051802,True,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/en/S06_quantity_shift_seed2026051802_00001_.png,4.029,generated,True,True,SUCCESS
dreamshaper8,en,English,S07_attribute_swap,2026051801,True,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/en/S07_attribute_swap_seed2026051801_00001_.png,4.023,generated,True,True,SUCCESS
dreamshaper8,en,English,S07_attribute_swap,2026051802,True,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/en/S07_attribute_swap_seed2026051802_00001_.png,4.028,generated,True,True,SUCCESS
dreamshaper8,en,English,S08_word_order,2026051801,True,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/en/S08_word_order_seed2026051801_00001_.png,4.028,generated,True,True,SUCCESS
